fastq Crits-Christoph,GISAID accession,SHA512,Sample title Crits-Christoph,Collection date Crits-Christoph,fastq NGDC,Run accession NGDC,Sample name NGDC,Sample title NGDC,Collection date NGDC
V300046953_L04_7_1.fq.gz,EPI_ISL_13052323,762e7c4d68d50f58cb439a19fbcfcdd400d384cd1794849ef935e5b87b000dcb5aa94a1f87889c13b030591d1deaa4571bf64e59f155c1b8d6bfbce3f0537305,A14,2020-01-01,CRR710819_f1.fq.gz,CRR710819,Env_0014,A14,2020-01-01
V300046953_L04_7_2.fq.gz,EPI_ISL_13052323,5bda38413c1b29ac9332fdd15defa355e469959e732896b1bf80c96d9d458b65e757ed4fd82a103fb717e3fec644a7badc173e7caf94b6e8e0f0db45d2d56951,A14,2020-01-01,CRR710819_r2.fq.gz,CRR710819,Env_0014,A14,2020-01-01
V300046953_L04_8_1.fq.gz,EPI_ISL_13052324,21c9eb6620039e677e0251e3050816b15a6207fb2a0fcb8e3c201473fc4727b00178a5982210ddb4595329175770185db17c68e754d4aa22ce1aa5a24fee971e,A15,2020-01-01,CRR710823_f1.fq.gz,CRR710823,Env_0015,A15,2020-01-01
V300046953_L04_8_2.fq.gz,EPI_ISL_13052324,24e49802d8d456160ebfe89ecf72f6384f6a84d61549636529839c01aae670b59eddd87a83708da6c181b042a21bbc159be56335ee337f99e62461fb4e531566,A15,2020-01-01,CRR710823_r2.fq.gz,CRR710823,Env_0015,A15,2020-01-01
V300052234_L01_10_1.fq.gz,EPI_ISL_13052341,8225c89bc1001a80709475fb9a26bef645f4fa99979a6b4d1890cee0b1d6dc302c33217c8f9ca8a578b2bda489729c767fdc0c72532fca83e28914bf649604bf,E7,2020-01-01,CRR710888_f1.fq.gz,CRR710888,Env_0221,E7,2020-01-01
V300052234_L01_10_2.fq.gz,EPI_ISL_13052341,b2f498450cdb70567021cdf35f73b3eb4b3dab0b0d4fbe5a0682bcc6c8b55ada2ede0c465148b4c97c0b81d1b4b1d2278a04e6ec59689fe1696367f5574e0f89,E7,2020-01-01,CRR710888_r2.fq.gz,CRR710888,Env_0221,E7,2020-01-01
V300052234_L01_11_1.fq.gz,EPI_ISL_13052329,d0c56e4e958666fae408db940c9a09e5cf0ab8859574bfbb72c078504593360f4cde1e5f024b7f81078675046fa521f577571c48bafa25f44008c16b0e301d8e,A55,2020-01-01,CRR710840_f1.fq.gz,CRR710840,Env_0055,A55,2020-01-01
V300052234_L01_11_2.fq.gz,EPI_ISL_13052329,c5692ecb24e9be42f86b1cbc49eeba21a40364bbd466a77dc71b5e761b8b0a31a1eb79039d6954d70108783790c319111a9cbf2b13e7c2dd75e57451a00a7766,A55,2020-01-01,CRR710840_r2.fq.gz,CRR710840,Env_0055,A55,2020-01-01
V300052234_L01_12_1.fq.gz,EPI_ISL_13052328,d663324b5f7189c42e3a6a6e9424def38b0784505b436a45070fe0cc037a49e75aef78b40837185094f54e9ba67de9996da47f4c02e8972ed6b376a08838ec08,A33,2020-01-01,CRR710836_f1.fq.gz,CRR710836,Env_0033,A33,2020-01-01
V300052234_L01_12_2.fq.gz,EPI_ISL_13052328,e92877f633f80f6fb9becf204a08b7a0b6888ca8088bbb5cb0fb8b1165020c25d2631cd3051bf89979aaa4425a007915c1b648c439a47e72a6fa034e62a4e95b,A33,2020-01-01,CRR710836_r2.fq.gz,CRR710836,Env_0033,A33,2020-01-01
V300052234_L01_1_1.fq.gz,EPI_ISL_13052338,f48469330cb62edd900fa60b457fcb78229d9837a0bdecbf96040c054be78e22963d2f4eeaed59460e31bc8fbd049af75d0aeedae82cdeea63dff8cfeac201c9,D32,2020-01-01,CRR710876_f1.fq.gz,CRR710876,Env_0213,D32,2020-01-01
V300052234_L01_1_2.fq.gz,EPI_ISL_13052338,adde330076c005314be725ac1d584c2e6fe7e1dac086b7d932993bb492bd71586c3f246d72f1036401c57d034261bed31d919b511000fbd50bf8d4d8b5eae80b,D32,2020-01-01,CRR710876_r2.fq.gz,CRR710876,Env_0213,D32,2020-01-01
V300052234_L01_22_1.fq.gz,EPI_ISL_13052343,936ba85b9911d62c89c962e07878cf9e2b3072039622d841c980ddcfff16ebd9e295d3f9ca3da7ead5ba31c74f30811107706c8dfdee4113300bff7096e40667,F13,2020-01-01,CRR710896_f1.fq.gz,CRR710896,Env_0313,F13,2020-01-01
V300052234_L01_22_2.fq.gz,EPI_ISL_13052343,7581c32168d28c5329a7d8f162a4396c706d8ea430b94e3805ed2933181e33e0aaf03c4ae4eff7472c4e1e981a858e2bdb7f7060fa96f92d4f176938c07ce3c5,F13,2020-01-01,CRR710896_r2.fq.gz,CRR710896,Env_0313,F13,2020-01-01
V300052234_L01_25_1.fq.gz,EPI_ISL_13052346,65545fac07aa4c886eb0bbb86eef58ce14d5e14cd6e68c9538d668ed66e5fcfcfa66f6d3e57d7b31362858d915de41e9fd398cfc23369c92438a164aec91941e,F98,2020-01-01,CRR710908_f1.fq.gz,CRR710908,Env_0398,F98,2020-01-01
V300052234_L01_25_2.fq.gz,EPI_ISL_13052346,36f741614893fb4757cbebdd2d700009182bd75ede2aec5a442b78d067ce1e15f3306563cb9e39039f58434ec3130a0b234bb5ccca33600363d55fb070ce212a,F98,2020-01-01,CRR710908_r2.fq.gz,CRR710908,Env_0398,F98,2020-01-01
V300052234_L01_2_1.fq.gz,EPI_ISL_13052336,863e3adf6158e19d1b960574e4e47ea2bb98f5938df949759ab2a86e06c4943daff23346ab1b3956f5d567276a5e318aeceebe8d61bcd4a345af6f466f96a3bf,B17,2020-01-01,CRR710868_f1.fq.gz,CRR710868,Env_0138,B17,2020-01-01
V300052234_L01_2_2.fq.gz,EPI_ISL_13052336,e44dbc5b646964b07a449b941245627b8acf157d3294925343459717a1678d3b14bc634bd1c4291a873a2744dd1bdf7dc776220869ddc267952c491dc20d302f,B17,2020-01-01,CRR710868_r2.fq.gz,CRR710868,Env_0138,B17,2020-01-01
V300052234_L01_3_1.fq.gz,EPI_ISL_13052345,176cbcbea2850cdb901789517f9b8f8bb5e0513ff71e6fc8d6413f878dbb86fb7332e021d7a3d204254bd67ec13d2c470a7eb100166d10f15298342b7db495cb,F54,2020-01-01,CRR710904_f1.fq.gz,CRR710904,Env_0354,F54,2020-01-01
V300052234_L01_3_2.fq.gz,EPI_ISL_13052345,e248f19d8e09d68f45c00be5bfdee64729d4172b65ba9d8525643b67a2bda5b3d2163438b535872157d7b5ea5201703846d67ce6888c87afd0c2392f42cb7373,F54,2020-01-01,CRR710904_r2.fq.gz,CRR710904,Env_0354,F54,2020-01-01
V300052234_L01_4_1.fq.gz,EPI_ISL_13052330,1df54cb9ab54876440479cbf2d630c1f5759581223c6a48489e44b2ba21eb729f15c3ec7b19a8a6cd95ddd8135232f88bc47074bfa708892daa3a698ce840335,A61,2020-01-01,CRR710844_f1.fq.gz,CRR710844,Env_0061,A61,2020-01-01
V300052234_L01_4_2.fq.gz,EPI_ISL_13052330,e06bacf69b11a29a0e3f047f8ecf5d14a6817cdc43daf619273992de00bc29d7aaf23b815ec0dae973fba0e2e157d06bd5ad110d97c09666ba7a60ba233ea6ce,A61,2020-01-01,CRR710844_r2.fq.gz,CRR710844,Env_0061,A61,2020-01-01
V300052234_L01_5_1.fq.gz,EPI_ISL_13052327,1d96758af021ff36229560d1bf2725126a196abde294758d55a620d52120cb7f0c79108fb191c36a82474eb2205222ced9324a5911642b12421f96481d9b4698,A20,2020-01-01,CRR710832_f1.fq.gz,CRR710832,Env_0020,A20,2020-01-01
V300052234_L01_5_2.fq.gz,EPI_ISL_13052327,8d7c976258728cba0ddb0f19d81e62621f23acd2321f3b576df77b26d933e56c213ea606b296d80fa774285a17265983c665debfd65e843b919e253d8396c4eb,A20,2020-01-01,CRR710832_r2.fq.gz,CRR710832,Env_0020,A20,2020-01-01
V300052234_L01_6_1.fq.gz,EPI_ISL_13052325,4f38eb5e4dc498b9da2addbe60224789e2c9b67ace3f1583dce31c6fb8c5d1e74283faa86dd88e8904b7308a77ece9134f670327ce7cf7ac0f50e3c383d1c8d5,A18,2020-01-01,CRR710824_f1.fq.gz,CRR710824,Env_0018,A18,2020-01-01
V300052234_L01_6_2.fq.gz,EPI_ISL_13052325,5dc595f97295d6232dae41b74afdd4a06d99748ec566bd77fcc734abfdaa0c87eba95d1d00445b10a53afc50cea77e0f7264e677cea9637dede12991b13aeac0,A18,2020-01-01,CRR710824_r2.fq.gz,CRR710824,Env_0018,A18,2020-01-01
